lat,lon,value
56.30291645,26.21208343,25.7604351
56.31124978,26.21208343,22.55442619
56.31958311,26.21208343,17.6926403
56.32791645,26.21208343,14.15069962
56.33624978,26.21208343,14.87923336
56.34458311,26.21208343,15.5126667
56.35291645,26.21208343,14.01648998
56.36124978,26.21208343,12.66004848
56.37791645,26.21208343,10.79771614
56.38624978,26.21208343,8.818519592
56.40291645,26.21208343,7.514218807
56.41124978,26.21208343,7.178996086
56.41958311,26.21208343,6.925757885
56.42791645,26.21208343,6.657972336
56.43624978,26.21208343,6.876653194
56.44458311,26.21208343,7.111206532
56.45291645,26.21208343,7.299660683
56.46124978,26.21208343,7.314369202
56.46958311,26.21208343,7.121367455
56.47791645,26.21208343,7.174218178
56.17791645,26.20375009,36.81939316
56.18624978,26.20375009,38.07610703
56.19458311,26.20375009,27.56215668
56.20291645,26.20375009,66.9961853
56.21124978,26.20375009,168.2394562
56.21958311,26.20375009,252.3159027
56.22791645,26.20375009,255.1487579
56.23624978,26.20375009,274.026001
56.24458311,26.20375009,272.4234619
56.25291645,26.20375009,263.2522278
56.26124978,26.20375009,240.8365326
56.26958311,26.20375009,117.5182648
56.27791645,26.20375009,49.95007324
56.28624978,26.20375009,29.66291809
56.29458311,26.20375009,24.61571121
56.30291645,26.20375009,25.49435997
56.31124978,26.20375009,22.4815979
56.31958311,26.20375009,18.91135025
56.32791645,26.20375009,16.31548309
56.33624978,26.20375009,14.5734272
56.34458311,26.20375009,13.49351406
56.35291645,26.20375009,12.9995575
56.36124978,26.20375009,12.31496906
56.36958311,26.20375009,11.88034916
56.37791645,26.20375009,10.4730587
56.38624978,26.20375009,8.581423759
56.39458311,26.20375009,8.410721779
56.40291645,26.20375009,7.76063633
56.41124978,26.20375009,7.592709541
56.41958311,26.20375009,7.126016617
56.42791645,26.20375009,6.991343498
56.43624978,26.20375009,7.376517773
56.44458311,26.20375009,7.513727665
56.45291645,26.20375009,7.65997839
56.46958311,26.20375009,7.199932098
56.47791645,26.20375009,7.12786293
56.48624978,26.20375009,7.139015198
56.17791645,26.19541676,31.18146324
56.18624978,26.19541676,27.2187748
56.19458311,26.19541676,19.87669754
56.20291645,26.19541676,65.17329407
56.21124978,26.19541676,172.8323364
56.21958311,26.19541676,251.0555115
56.22791645,26.19541676,279.7089844
56.23624978,26.19541676,274.7058105
56.24458311,26.19541676,268.3699341
56.25291645,26.19541676,262.8992004
56.26124978,26.19541676,243.6161652
56.26958311,26.19541676,129.4022522
56.27791645,26.19541676,54.69823074
56.28624978,26.19541676,29.97157288
56.29458311,26.19541676,24.25287437
56.30291645,26.19541676,15.02558899
56.31124978,26.19541676,21.93153572
56.31958311,26.19541676,20.93875313
56.33624978,26.19541676,8.759821892
56.34458311,26.19541676,13.61337471
56.35291645,26.19541676,12.81307983
56.36124978,26.19541676,12.17518616
56.36958311,26.19541676,11.13886929
56.37791645,26.19541676,9.729503632
56.38624978,26.19541676,8.449106216
56.39458311,26.19541676,8.562735558
56.40291645,26.19541676,8.301467896
56.41124978,26.19541676,7.932868958
56.41958311,26.19541676,7.644311428
56.42791645,26.19541676,7.919687748
56.43624978,26.19541676,7.854920387
56.44458311,26.19541676,7.66146183
56.46124978,26.19541676,6.974462986
56.46958311,26.19541676,7.272530556
56.47791645,26.19541676,7.130392551
56.48624978,26.19541676,7.096992016
56.17791645,26.18708343,32.5712204
56.18624978,26.18708343,22.73748207
56.19458311,26.18708343,18.01184082
56.20291645,26.18708343,56.33916092
56.21124978,26.18708343,131.5617676
56.21958311,26.18708343,230.7340088
56.22791645,26.18708343,254.4741974
56.23624978,26.18708343,274.7220154
56.24458311,26.18708343,272.4414673
56.25291645,26.18708343,267.7755737
56.26124978,26.18708343,234.3761597
